LocationID,taxiName,mapName,Borough,xID
158,Meatpacking/West Village West,Chelsea,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Chelsea
159,Melrose South,East Morrisania,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/East_Morrisania
160,Middle Village,Forest Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Forest_Park
161,Midtown Center,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown
162,Midtown East,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown
163,Midtown North,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown
164,Midtown South,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown
165,Midwood,Marine Park,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Marine_Park
166,Morningside Heights,Upper West Side,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side
167,Morrisania/Melrose,East Morrisania,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/East_Morrisania
168,Mott Haven/Port Morris,Port Morris,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Port_Morris
169,Mount Hope,Morris Heights,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Morris_Heights
170,Murray Hill,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown
171,Murray Hill-Queens,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace
172,New Dorp/Midland Beach,New Dorp,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/New_Dorp
173,North Corona,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway
174,Norwood,Olinville,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Olinville
175,Oakland Gardens,Hollis Hills,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Hollis_Hills
176,Oakwood,Midland Beach,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Midland_Beach
177,Ocean Hill,Bedford-Stuyvesant,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant
178,Ocean Parkway South,Bensonhurst,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst
179,Old Astoria,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway
180,Ozone Park,Springfield Gardens,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens
181,Park Slope,South Slope,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/South_Slope
182,Parkchester,Unionport,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Unionport
183,Pelham Bay,Pelham Gardens,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Pelham_Gardens
184,Pelham Bay Park,Pelham Islands,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Pelham_Islands
185,Pelham Parkway,Pelham Gardens,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Pelham_Gardens
186,Penn Station/Madison Sq West,Midtown,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Midtown
187,Port Richmond,Randall Manor,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Randall_Manor
188,Prospect-Lefferts Gardens,Crown Heights,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights
189,Prospect Heights,Crown Heights,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights
190,Prospect Park,Crown Heights,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Crown_Heights
191,Queens Village,Hollis Hills,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Hollis_Hills
192,Queensboro Hill,Flushing Meadows Corona Park,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Flushing_Meadows_Corona_Park
193,Queensbridge/Ravenswood,Long Island City,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Long_Island_City
194,Randalls Island,Randall's Island,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Randall_s_Island
195,Red Hook,South Slope,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/South_Slope
